"","main_category","state","backers","country","usd_pledged_real","usd_goal_real","date_diff"
"124195",8,1,1105,22,50000,28000,30
"124197",13,1,232,22,5015,1500,30
"124225",2,0,34,22,1727,25000,30
"124232",7,1,46,22,3752.78,3500,41
"124236",8,0,56,2,3529.85,14850.01,30
"124248",11,1,93,22,20065,20000,27
"124250",14,0,11,22,419,50000,30
"124271",11,1,44,22,1099,1000,12
"124276",9,1,180,22,4228,4000,6
"124295",14,0,2,22,40,125000,29
"124298",13,0,0,22,0,350,30
"124302",7,0,19,22,720,1500,12
"124315",3,0,5,22,41,3500,60
"124322",1,2,0,8,0,3641.09,30
"124338",12,0,86,22,2502,3500,30
"124339",11,1,66,22,4907,4000,38
"124341",14,0,12,22,1062,55000,30
"124355",11,0,0,22,0,2000,60
"124364",5,1,112,22,6346.69,6000,30
"124368",7,0,13,22,695,3000,24
"124372",13,1,35,22,1607,1500,60
"124376",14,0,12,2,454.44,11854.9,42
"124388",7,1,36,22,1112,550,30
"124401",2,1,357,22,14267.48,12000,30
"124404",6,1,49,22,3523,3500,14
"124407",5,0,4,12,10.04,669358.98,40
"124424",13,0,157,22,5025,9000,30
"124427",13,0,0,22,0,16085,37
"124456",13,0,2,22,10,15000,21
"124494",4,1,52,22,3140,3000,31
"124505",1,1,41,22,3896,2000,30
"124508",1,0,0,22,0,1200,14
"124525",9,0,303,10,10871.24,34240.13,30
"124541",13,0,1,22,50,4000,47
"124559",5,3,5,10,274.4,1351.73,26
"124563",7,3,4,22,991,60000,60
"124586",12,3,1,22,25,5500,60
"124588",2,3,5,22,66,5000,60
"124592",13,0,8,22,111.44,500,30
"124596",7,1,176,10,32706.13,30973.18,31
"124605",7,1,21,22,3120,3000,30
"124606",1,1,26,22,2018,1500,30
"124609",8,1,230,22,21866,20000,30
"124620",14,3,4,22,115,8000,47
"124623",13,0,2,22,51,500,30
"124626",1,0,1,22,85,4575,30
"124635",8,0,1,22,100,5500,30
"124642",14,1,113,22,24242,23400,34
"124651",8,1,24,10,1217.57,970.43,7
"124665",7,0,0,22,0,12000,90
"124672",9,0,23,22,944,8000,28
"124681",13,0,0,10,0,2345.14,30
"124682",11,1,10,4,660.09,651.94,30
"124698",9,0,66,10,3260.73,14492.12,40
"124701",7,1,18,22,636,500,30
"124730",8,2,1,22,55,4200,30
"124769",9,0,4,22,46,12000,30
"124773",5,0,4,22,67,25000,30
"124781",9,0,4,22,41,20000,30
"124787",14,1,216,10,42434.03,30315.43,35
"124789",13,0,1,22,25,4500,30
"124793",8,0,29,22,3575,20000,59
"124799",15,3,0,22,0,2e+05,60
"124816",2,1,328,22,6449,3000,35
"124829",15,0,8,22,685,7500,30
"124831",8,0,4,4,86.64,2735.98,30
"124838",6,0,0,22,0,5000,22
"124855",11,1,23,22,1300,1200,30
"124877",13,0,0,4,0,11313.92,26
"124893",1,1,17,22,380,300,25
"124905",7,0,3,22,30,32500,21
"124911",7,1,55,4,2397.96,1572.08,31
"124931",7,0,4,22,312,35000,31
"124941",10,1,22,2,896.82,733.3,60
"124960",7,0,0,22,0,10000,30
"125003",7,3,0,10,0,618.98,13
"125005",14,0,1,12,3.57,71309.72,30
"125017",13,1,35,22,1028,700,60
"125021",7,0,2,22,101,30000,30
"125025",11,0,67,22,2883.66,5666.66,41
"125035",11,1,110,22,5913,5000,28
"125036",7,1,41,22,4081,4000,30
"125042",7,0,0,4,0,16920.47,45
"125043",11,0,1,22,10,1000,31
"125055",7,1,169,22,11044,10000,25
"125057",1,3,0,22,0,30,25
"125073",13,0,0,22,0,1500,57
"125079",5,0,15,4,480.59,7891.41,45
"125084",15,1,64,22,2505.87,2000,37
"125087",9,0,10,22,276,5000,30
"125101",9,0,8,22,86,1000,32
"125104",13,2,0,22,0,500,60
"125106",5,0,0,22,0,40000,30
"125107",3,1,50,22,3534,2750,25
"125111",7,1,14,22,1201,1000,12
"125118",13,1,30,22,1088,1000,17
"125127",12,1,15,22,675,99,7
"125160",8,1,124,22,6569,6000,30
"125169",9,0,60,9,2269.93,20892.09,30
"125170",8,0,3,22,3,50000,45
"125173",5,0,76,22,5654,20000,39
"125175",7,0,1,12,65.02,325.08,30
"125182",13,0,18,22,1363,9800,60
"125191",6,0,17,22,1724,5000,25
"125194",13,0,51,22,4430,22000,60
"125195",13,0,49,6,5190.27,18409.43,40
"125203",7,0,61,22,7625,9000,30
"125205",11,1,83,22,4090,4000,15
"125206",9,3,0,4,0,16693.02,24
"125225",1,1,28,22,2850,1100,30
"125260",7,3,0,22,0,75000,60
"125265",7,1,77,22,35848,35000,40
"125278",1,0,5,22,110,1500,60
"125280",13,3,0,22,0,2500,51
"125281",5,0,32,22,6232,2e+05,40
"125311",7,0,5,22,225,16000,29
"125313",3,1,11,22,135,100,30
"125320",9,3,2,22,35,10000,30
"125333",3,0,0,22,0,5000,22
"125337",11,0,15,22,1200,3000,30
"125351",7,0,5,10,72.86,3238.24,30
"125414",7,1,72,22,4338,4200,20
"125449",9,0,15,22,920,21000,35
"125458",11,2,26,22,2461.69,3000,30
"125466",1,1,50,22,4722,3000,47
"125469",6,0,27,22,4381,15000,36
"125484",14,0,3,22,285,29000,30
"125487",8,0,0,19,0,227.08,30
"125515",6,1,9,22,333,100,30
"125533",13,1,508,10,9849.91,8068.42,15
"125546",2,1,166,22,6705,3500,14
"125561",15,1,62,22,2860,2500,34
"125563",1,0,1,4,1.82,1093.1,30
"125619",8,0,1,10,39.12,1564.8,30
"125623",5,3,1,18,5.48,60.86,10
"125625",7,0,4,4,10.45,4017.68,52
"125640",2,0,1,22,25,500,30
"125646",9,0,23,8,794.15,29632.44,60
"125653",1,0,1,22,5,1000,30
"125689",13,1,38,22,2350.99,1500,31
"125697",8,1,224,22,21140.11,20000,17
"125703",13,0,1,22,5,1500,61
"125716",1,0,2,10,29.56,8445.23,60
"125727",6,1,69,22,8072,8000,30
"125734",11,0,8,22,401,5000,60
"125738",15,0,1,10,7.59,3036.84,38
"125744",1,1,37,22,622,100,8
"125749",15,1,10,10,1807.32,1785.89,28
"125763",1,0,2,10,30.9,257.49,30
"125777",8,3,0,22,0,25000,30
"125792",2,1,48,22,939,500,31
"125798",7,1,46,22,2520,2500,35
"125800",5,3,17,22,2517,2500,47
"125811",15,0,28,10,901.49,2812.28,30
"125826",11,3,4,22,85,1000,90
"125830",11,0,3,22,100,2500,77
"125837",9,3,23,10,511.33,20290.89,30
"125871",1,1,16,22,1825,1500,30
"125873",12,0,7,22,275,3000,45
"125885",15,1,30,22,2735,2500,30
"125910",11,0,3,22,225,3500,30
"125927",1,1,82,22,4693.14,4200,30
"125938",5,3,24,22,1426.23,3300,30
"125940",1,0,0,22,0,10000,30
"125977",1,1,16,22,600,500,16
"125991",6,0,5,22,196,575,30
"125992",7,3,0,10,0,5720.73,25
"125999",7,0,1,22,60,50000,30
"126011",7,0,28,22,1695,6000,60
"126023",13,0,28,22,1245,6000,30
"126031",11,0,1,22,30,2000,28
"126049",7,0,67,22,2757.95,8000,45
"126058",9,0,2,22,6,27700,30
"126068",7,1,13,22,600,600,26
"126072",5,0,50,22,6476,50000,45
"126073",14,0,1,22,30,2000,15
"126087",1,0,7,22,190,700,30
"126089",7,1,108,22,10598.38,10000,31
"126094",7,0,2,22,30,30000,45
"126100",1,0,0,22,0,25000,30
"126108",11,1,1424,22,75949.49,33300,33
"126115",7,0,2,22,6,3950,30
"126119",5,0,3,7,55.79,126182.01,30
"126153",1,1,105,22,27426,25000,30
"126169",14,0,33,22,2145,10000,60
"126171",14,3,13,5,1608.13,29761.9,30
"126178",7,1,18,22,820,820,30
"126191",11,0,1,22,25,3000,60
"126192",4,1,15,22,1200,600,6
"126197",14,0,3,22,25,1000,30
"126200",11,0,2,22,165,16000,30
"126207",13,1,116,22,15975,15000,30
"126221",7,0,18,22,4523,10000,29
"126236",13,1,18,10,342.19,215.67,30
"126239",11,1,80,22,4514.25,4321,31
"126251",7,0,7,22,870,64000,30
"126269",15,0,2,22,10,1000,13
"126271",4,0,28,22,779,3000,22
"126280",14,0,6,10,287.27,7146.12,30
"126293",9,0,3,22,52,10000,30
"126316",7,0,5,22,516,18000,30
"126322",1,0,3,22,200,3000,46
"126328",1,1,53,6,16208.61,11877.05,30
"126330",11,0,2,22,30,4800,21
"126331",13,1,166,8,14129.44,13617.64,30
"126339",11,1,40,22,2450,2250,30
"126341",11,0,25,22,1230,3800,21
"126349",9,1,1167,22,36967.92,20000,30
"126350",13,0,6,22,181,3000,30
"126354",7,0,2,22,45,80000,57
"126358",1,1,64,22,7562,5000,40
"126361",5,0,4,22,66,10000,38
"126394",11,0,5,22,100,11000,30
"126397",5,0,3,22,3,190000,31
"126421",13,1,18,10,1946.02,1938.56,10
"126429",7,0,23,22,826,5000,39
"126438",5,0,17,2,2492.23,61344.68,45
"126440",5,0,33,17,11544.48,122189.64,53
"126469",1,0,0,22,0,2000,14
"126480",11,1,43,22,1885.01,1600,31
"126501",7,0,8,22,200,10000,32
"126509",5,1,42,22,1281,65,29
"126530",6,1,172,22,5843.25,616,30
"126573",12,1,157,4,13116.97,10028.26,30
"126577",9,1,108,22,5063,2500,30
"126617",7,0,2,22,110,15000,46
"126624",7,0,24,22,1205,20000,45
"126631",7,1,28,22,2690,2500,21
"126635",14,0,20,10,2001.3,27136.31,30
"126655",7,1,55,22,3434.34,3400,30
"126657",11,1,57,22,5435,5000,49
"126659",5,0,13,22,680,5000,45
"126660",9,0,9,22,370,7500,46
"126661",7,1,61,22,2879,2500,21
"126675",1,0,1,4,4.52,1356.36,38
"126689",13,1,87,22,3536,1000,28
"126692",14,1,600,4,8131.02,4968.66,30
"126719",14,0,29,22,1570,5000,60
"126728",15,0,1,22,5,35000,30
"126730",13,0,0,4,0,2272.56,30
"126743",7,0,8,22,340,25000,30
"126754",9,1,32,10,854.36,243.75,7
"126769",7,0,2,22,62,400,30
"126773",1,0,0,22,0,835000,30
"126789",9,1,42,22,1531,700,30
"126790",9,0,1,22,1,28000,60
"126803",13,0,0,22,0,28000,29
"126810",8,0,5,22,615,10000,31
"126812",7,1,31,22,1315,1000,15
"126821",7,0,0,17,0,4082.08,30
"126831",5,3,7,22,403,45000,30
"126834",5,0,3,17,39.48,1096.7,30
"126859",7,0,0,22,0,2e+05,90
"126860",11,1,28,22,1690,500,31
"126875",7,1,26,22,1246,1200,25
"126892",6,0,31,22,3701,20000,39
"126893",9,0,26,2,573.44,15625,30
"126932",5,0,12,22,1538,8000,30
"126940",15,1,64,10,12843.07,12659.51,25
"126949",11,1,39,22,1300,1200,30
"126967",7,1,37,22,2198,1000,30
"126993",7,0,3,20,181.35,34002.81,23
"126998",13,0,4,22,87,500,37
"127002",7,3,3,22,120,5000,30
"127013",14,3,0,22,0,1e+05,30
"127014",9,3,0,22,0,350000,31
"127046",6,3,0,22,0,2000,21
"127060",9,0,8,22,4505,55000,30
"127064",2,1,39,22,800,600,54
"127068",14,0,0,22,0,1250,25
"127089",11,1,51,22,2875,2500,20
"127095",5,1,319,22,43215.01,15000,30
"127104",1,0,9,22,410,5000,30
"127111",13,0,7,22,112,1000,30
"127114",7,1,119,22,5756,5000,32
"127127",8,0,0,10,0,358.3,30
"127152",4,1,14,22,582,500,35
"127180",11,0,1,22,10,5000,29
"127185",8,1,29,22,5000,5000,30
"127188",14,0,4,22,296,12500,30
"127200",15,3,2,22,250,5560,35
"127219",8,0,14,22,983.4,50000,60
"127222",7,0,0,22,0,10000,45
"127233",14,1,36,4,5366.45,3833.18,31
"127240",7,0,7,12,232.72,1623.61,40
"127245",14,0,2,22,2,5000,14
"127252",11,1,32,22,1035,500,30
"127253",5,0,14,22,4267,42000,60
"127275",7,0,3,22,1075,25000,30
"127300",11,0,1,10,6.85,13704.07,45
"127301",7,0,5,22,150,2000,91
"127306",9,0,1,22,1,4000,30
"127328",7,1,17,22,1332,1167,20
"127342",1,0,29,22,1742,5750,30
"127368",9,1,16,22,5020,5000,30
"127373",11,0,0,22,0,10000,30
"127400",6,0,7,22,357,12500,30
"127401",1,1,9,22,5585,5000,24
"127423",11,0,1,6,1.07,5368.49,30
"127427",11,1,206,22,11010.76,10000,40
"127431",12,0,2,10,17.8,2966.7,21
"127435",5,3,32,22,1617,15000,30
"127441",5,0,7,22,1418,1e+05,30
"127451",7,0,70,22,16574,33000,45
"127474",13,0,1,22,1,15000,30
"127476",5,0,13,22,554,15000,29
"127488",7,0,12,22,375,3000,30
"127503",6,1,13,22,2510,2500,30
"127505",14,3,6,12,864.57,8123.48,32
"127510",13,0,2,22,6,6500,24
"127512",13,0,5,22,280,10000,30
"127528",11,1,47,22,15220,15000,60
"127545",6,0,0,22,0,2000,45
"127553",7,1,284,22,36055.77,35000,30
"127556",7,0,0,22,0,5000,15
"127571",13,0,24,2,962.51,2835.07,30
"127575",11,1,146,22,4806.01,4500,14
"127603",1,0,28,22,1670,15000,32
"127604",12,1,26,22,7305,7000,30
